category,term,normalized_name,synonyms
CHEMICAL,Resveratrol,Resveratrol,白藜芦醇
CHEMICAL,Quercetin,Quercetin,槲皮素
CHEMICAL,Catechins,Catechins,儿茶素
CHEMICAL,Curcumin,Curcumin,姜黄素
CHEMICAL,Polyphenols,Polyphenols,多酚
CHEMICAL,Phytochemicals,Phytochemicals,植物化学物
CHEMICAL,Flavonoids,Flavonoids,类黄酮
CHEMICAL,Carotenoids,Carotenoids,类胡萝卜素
CHEMICAL,Vitamin D,Vitamin D,维生素D
CHEMICAL,Vitamin A,Vitamin A,维生素A
CHEMICAL,Vitamin E,Vitamin E,维生素E
CHEMICAL,Selenium,Selenium,硒
CHEMICAL,Zinc,Zinc,锌
CHEMICAL,Omega-3 fatty acids,Omega-3 fatty acids,ω-3脂肪酸
CHEMICAL,Omega-6 fatty acids,Omega-6 fatty acids,ω-6脂肪酸
CHEMICAL,4-Hydroxyphenylacetic acid,4-Hydroxyphenylacetic acid,4-羟基苯乙酸
CHEMICAL,5-Hydroxyindole,5-Hydroxyindole,5-羟基吲哚
CHEMICAL,Glyceric acid,Glyceric acid,甘油酸
CHEMICAL,Gluconic acid,Gluconic acid,葡萄糖酸
CHEMICAL,myo-Inositol,myo-Inositol,肌醇
CHEMICAL,scyllo-Inositol,scyllo-Inositol,肌醇
CHEMICAL,Mannitol,Mannitol,甘露醇
CHEMICAL,Xylitol,Xylitol,木糖醇
CHEMICAL,2-Deoxyribonic acid,2-Deoxyribonic acid,2-脱氧核糖酸
CHEMICAL,Ascorbic acid,Ascorbic acid,抗坏血酸
CHEMICAL,5-Oxoproline,5-Oxoproline,5-氧代脯氨酸
CHEMICAL,Glutathione,Glutathione,谷胱甘肽
CHEMICAL,Reactive oxygen species,Reactive oxygen species,活性氧
CHEMICAL,Superoxide dismutase,Superoxide dismutase,超氧化物歧化酶
CHEMICAL,Catalase,Catalase,过氧化氢酶
CHEMICAL,Glutathione peroxidase,Glutathione peroxidase,谷胱甘肽过氧化物酶
CHEMICAL,Nitric oxide,Nitric oxide,一氧化氮
CHEMICAL,Malondialdehyde,Malondialdehyde,丙二醛
CHEMICAL,Adiponectin,Adiponectin,脂联素
CHEMICAL,AMP,AMP,AMP
CHEMICAL,ATP,Adenosine triphosphate,三磷酸腺苷
CHEMICAL,NADPH,Nicotinamide adenine dinucleotide phosphate,还原型烟酰胺腺嘌呤二核苷酸磷酸
CHEMICAL,NAD+,Nicotinamide adenine dinucleotide,烟酰胺腺嘌呤二核苷酸
CHEMICAL,Cobalamin,Cobalamin,钴胺素
CHEMICAL,Vitamin B12,Vitamin B12,维生素B12
CHEMICAL,Gallotannin,Gallotannin,没食子单宁
CHEMICAL,Metal ions,Metal ions,金属离子
CHEMICAL,miR-21,miR-21,miR-21
CHEMICAL,miR-181b,miR-181b,miR-181b
CHEMICAL,miR-663,miR-663,miR-663
CHEMICAL,miR-30c2,miR-30c2,miR-30c2
CHEMICAL,miR-155,miR-155,miR-155
CHEMICAL,miR-34a,miR-34a,miR-34a
CHEMICAL,miRNA-106b,miRNA-106b,miRNA-106b
CHEMICAL,miR-136-5p,miR-136-5p,miR-136-5p
CHEMICAL,hs-CRP,High-sensitivity C-reactive protein,高敏C反应蛋白
CHEMICAL,CRP,C-reactive protein,C反应蛋白
CHEMICAL,PAI-1,Plasminogen activator inhibitor type 1,纤溶酶原激活物抑制剂1型
CHEMICAL,sICAM-1,Soluble intercellular adhesion molecule-1,可溶性细胞间黏附分子1
CHEMICAL,MCP-1,Monocyte chemoattractant protein 1,单核细胞趋化蛋白1
CHEMICAL,CCL3,C-C motif chemokine ligand 3,C-C基序趋化因子配体3
CHEMICAL,TNF-α,Tumor necrosis factor-alpha,肿瘤坏死因子α
CHEMICAL,TNF-β,Tumor necrosis factor-beta,肿瘤坏死因子β
CHEMICAL,IL-1β,Interleukin-1 beta,白细胞介素-1β
CHEMICAL,IL-6,Interleukin-6,白细胞介素-6
CHEMICAL,IL-8,Interleukin-8,白细胞介素-8
CHEMICAL,IL-10,Interleukin-10,白细胞介素-10
CHEMICAL,IL-18,Interleukin-18,白细胞介素-18
CHEMICAL,IL-4,Interleukin-4,白细胞介素-4
CHEMICAL,IL-5,Interleukin-5,白细胞介素-5
CHEMICAL,IFNγ,Interferon gamma,干扰素γ
CHEMICAL,CXCL1,CXCL1,CXCL1
CHEMICAL,CXCL2,CXCL2,CXCL2
CHEMICAL,CXCL10,CXCL10,CXCL10
CHEMICAL,CCL2,CCL2,CCL2
CHEMICAL,CCL3,CCL3,CCL3
CHEMICAL,CCL4,CCL4,CCL4
CHEMICAL,MIP-1α,Macrophage inflammatory protein 1 alpha,巨噬细胞炎症蛋白1α
CHEMICAL,Prostaglandin,Prostaglandin,前列腺素
